bodyPart,equipment,gifUrl,name,target
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0448.gif,ez barbell decline close grip face press,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/2186.gif,ez barbell decline triceps extension,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0449.gif,ez barbell incline triceps extension,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0450.gif,ez barbell jm bench press,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0451.gif,ez barbell reverse grip curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0452.gif,ez barbell reverse grip preacher curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1458.gif,ez barbell seated curls,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0453.gif,ez barbell seated triceps extension,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0454.gif,ez barbell spider curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1628.gif,ez barbell spider curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/2404.gif,ez-bar biceps curl (with arm blaster),biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/2432.gif,ez-bar close-grip bench press,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/2741.gif,ez-barbell standing wide grip biceps curl,biceps
upper legs,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2133.gif,farmers walk,quads
lower arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0455.gif,finger curls,forearms
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3303.gif,flag,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0456.gif,flexion leg sit up (bent knee),abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0457.gif,flexion leg sit up (straight arm),abs
chest,barbell,http://d205bpvrqc9yn1.cloudfront.net/0458.gif,floor fly (with barbell),pectorals
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0459.gif,flutter kicks,glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1472.gif,forward jump,quads
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3470.gif,forward lunge (male),glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/3194.gif,frankenstein squat,glutes
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2429.gif,frog crunch,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3301.gif,frog planche,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3296.gif,front lever,abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3295.gif,front lever reps,upper back
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0464.gif,front plank with twist,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3315.gif,full maltese,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3299.gif,full planche,abs
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3327.gif,full planche push-up,pectorals
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0466.gif,gironda sternum chin,lats
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3561.gif,glute bridge march,glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3523.gif,glute bridge two legs on bench (male),glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3193.gif,glute-ham raise,hamstrings
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0467.gif,gorilla chin,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0469.gif,groin crunch,abs
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1383.gif,hack calf raise,calves
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1384.gif,hack one leg calf raise,calves
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3221.gif,half knee bends (male),cardiovascular system
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3202.gif,half sit-up (male),abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1511.gif,hamstring stretch,hamstrings
chest,upper body ergometer,http://d205bpvrqc9yn1.cloudfront.net/2139.gif,hands bike,pectorals
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3218.gif,hands clasped circular toe touch (male),glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3215.gif,hands reversed clasped circular toe touch (male),glutes
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/3302.gif,handstand,triceps
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0471.gif,handstand push-up,triceps
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1764.gif,hanging leg hip raise,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0472.gif,hanging leg raise,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1761.gif,hanging oblique knee raise,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0473.gif,hanging pike,abs
